max_population,selection_strategy,num_of_crossovers_per_generation,mutation_probability,problem_difficulty,runs,average_time(success),success_rate
2,fitness_proportionate_selection,1,0.01,easy,50,0.36750799999999995,2.0
2,fitness_proportionate_selection,1,0.01,hard,50,,0
2,fitness_proportionate_selection,1,0.05,easy,50,0.36269333333333265,6.0
2,fitness_proportionate_selection,1,0.05,hard,50,,0
2,fitness_proportionate_selection,1,0.1,easy,50,0.0176959642857152,56.00000000000001
2,fitness_proportionate_selection,1,0.1,hard,50,1.0777670000000228,2.0
2,fitness_proportionate_selection,1,0.2,easy,50,0.4665516666666652,6.0
2,fitness_proportionate_selection,1,0.2,hard,50,,0
2,fitness_proportionate_selection,1,0.3,easy,50,0.3004181666666612,36.0
2,fitness_proportionate_selection,1,0.3,hard,50,,0
2,fitness_proportionate_selection,1,0.4,easy,50,0.27416567857142937,56.00000000000001
2,fitness_proportionate_selection,1,0.4,hard,50,,0
2,fitness_proportionate_selection,1,0.5,easy,50,0.4623642173913031,46.0
2,fitness_proportionate_selection,1,0.5,hard,50,,0
2,fitness_proportionate_selection,1,0.6,easy,50,0.25038638888886705,36.0
2,fitness_proportionate_selection,1,0.6,hard,50,,0
2,fitness_proportionate_selection,1,0.7,easy,50,0.13273134090908137,88.0
2,fitness_proportionate_selection,1,0.7,hard,50,,0
2,fitness_proportionate_selection,1,0.8,easy,50,0.01284650000000056,100.0
2,fitness_proportionate_selection,1,0.8,hard,50,,0
2,simple_sort,1,0.01,easy,50,0.04341749999999441,12.0
2,simple_sort,1,0.01,hard,50,,0
2,simple_sort,1,0.05,easy,50,0.39863000000013926,2.0
2,simple_sort,1,0.05,hard,50,,0
2,simple_sort,1,0.1,easy,50,0.17959628571429676,14.000000000000002
2,simple_sort,1,0.1,hard,50,0.02152299999988827,2.0
2,simple_sort,1,0.2,easy,50,0.5284607142857567,14.000000000000002
2,simple_sort,1,0.2,hard,50,,0
2,simple_sort,1,0.3,easy,50,0.6654770000001008,20.0
2,simple_sort,1,0.3,hard,50,,0
2,simple_sort,1,0.4,easy,50,0.3063268749999679,32.0
2,simple_sort,1,0.4,hard,50,,0
2,simple_sort,1,0.5,easy,50,0.10926199999999621,70.0
2,simple_sort,1,0.5,hard,50,,0
2,simple_sort,1,0.6,easy,50,0.24171080645161172,62.0
2,simple_sort,1,0.6,hard,50,,0
2,simple_sort,1,0.7,easy,50,0.13409776595753622,94.0
2,simple_sort,1,0.7,hard,50,,0
2,simple_sort,1,0.8,easy,50,1.1954021249999585,32.0
2,simple_sort,1,0.8,hard,50,,0
3,fitness_proportionate_selection,1,0.01,easy,50,0.1404399999999999,2.0
3,fitness_proportionate_selection,1,0.01,hard,50,,0
3,fitness_proportionate_selection,1,0.05,easy,50,0.24812620000000152,10.0
3,fitness_proportionate_selection,1,0.05,hard,50,,0
3,fitness_proportionate_selection,1,0.1,easy,50,0.25038874999999905,16.0
3,fitness_proportionate_selection,1,0.1,hard,50,0.05665700000000129,4.0
3,fitness_proportionate_selection,1,0.2,easy,50,0.7098398000000004,40.0
3,fitness_proportionate_selection,1,0.2,hard,50,0.040091500000045244,4.0
3,fitness_proportionate_selection,1,0.3,easy,50,0.23925555555558098,36.0
3,fitness_proportionate_selection,1,0.3,hard,50,,0
3,fitness_proportionate_selection,1,0.4,easy,50,0.9263142727272783,44.0
3,fitness_proportionate_selection,1,0.4,hard,50,0.14539750000005824,4.0
3,fitness_proportionate_selection,1,0.5,easy,50,1.0668250526315732,38.0
3,fitness_proportionate_selection,1,0.5,hard,50,0.25205099999993763,4.0
3,fitness_proportionate_selection,1,0.6,easy,50,0.7177258285714223,70.0
3,fitness_proportionate_selection,1,0.6,hard,50,,0
3,fitness_proportionate_selection,1,0.7,easy,50,1.2386265000000094,44.0
3,fitness_proportionate_selection,1,0.7,hard,50,0.0605644999998276,4.0
3,fitness_proportionate_selection,1,0.8,easy,50,1.1884682173913066,46.0
3,fitness_proportionate_selection,1,0.8,hard,50,,0
3,simple_sort,1,0.01,easy,50,0.11631339999996726,40.0
3,simple_sort,1,0.01,hard,50,0.23777099999991455,6.0
3,simple_sort,1,0.05,easy,50,0.039275111111186964,18.0
3,simple_sort,1,0.05,hard,50,0.12068362499996965,16.0
3,simple_sort,1,0.1,easy,50,0.2664963076922854,26.0
3,simple_sort,1,0.1,hard,50,0.09844720000000962,10.0
3,simple_sort,1,0.2,easy,50,0.3268897391304642,46.0
3,simple_sort,1,0.2,hard,50,0.06245766666643249,6.0
3,simple_sort,1,0.3,easy,50,0.17487612000002628,50.0
3,simple_sort,1,0.3,hard,50,0.015595500000017637,4.0
3,simple_sort,1,0.4,easy,50,0.2611592499999915,48.0
3,simple_sort,1,0.4,hard,50,0.03375149999988025,4.0
3,simple_sort,1,0.5,easy,50,0.09123038709678381,62.0
3,simple_sort,1,0.5,hard,50,0.03622899999997268,6.0
3,simple_sort,1,0.6,easy,50,0.7068507916666249,48.0
3,simple_sort,1,0.6,hard,50,0.08099133333356197,6.0
3,simple_sort,1,0.7,easy,50,0.2217976136363921,88.0
3,simple_sort,1,0.7,hard,50,0.08208199999990029,4.0
3,simple_sort,1,0.8,easy,50,0.50671833333342,54.0
3,simple_sort,1,0.8,hard,50,0.4360857499998474,8.0
3,fitness_proportionate_selection,2,0.01,easy,50,0.07031600000000027,8.0
3,fitness_proportionate_selection,2,0.01,hard,50,,0
3,fitness_proportionate_selection,2,0.05,easy,50,0.2167361999999997,10.0
3,fitness_proportionate_selection,2,0.05,hard,50,0.19297299999998074,4.0
3,fitness_proportionate_selection,2,0.1,easy,50,0.5791189999999915,20.0
3,fitness_proportionate_selection,2,0.1,hard,50,,0
3,fitness_proportionate_selection,2,0.2,easy,50,0.763246562500008,32.0
3,fitness_proportionate_selection,2,0.2,hard,50,,0
3,fitness_proportionate_selection,2,0.3,easy,50,0.029590893617020636,94.0
3,fitness_proportionate_selection,2,0.3,hard,50,0.05832450000002609,4.0
3,fitness_proportionate_selection,2,0.4,easy,50,0.7486174814814772,54.0
3,fitness_proportionate_selection,2,0.4,hard,50,0.021676000000070417,2.0
3,fitness_proportionate_selection,2,0.5,easy,50,0.20364035135132844,74.0
3,fitness_proportionate_selection,2,0.5,hard,50,0.016771999999946274,4.0
3,fitness_proportionate_selection,2,0.6,easy,50,1.5670079629629712,54.0
3,fitness_proportionate_selection,2,0.6,hard,50,0.21312600000010207,6.0
3,fitness_proportionate_selection,2,0.7,easy,50,0.8663820400000258,50.0
3,fitness_proportionate_selection,2,0.7,hard,50,0.09911700000005415,6.0
3,fitness_proportionate_selection,2,0.8,easy,50,0.5361233636363067,44.0
3,fitness_proportionate_selection,2,0.8,hard,50,,0
3,simple_sort,2,0.01,easy,50,0.6555442500000481,8.0
3,simple_sort,2,0.01,hard,50,0.12776885714291503,14.000000000000002
3,simple_sort,2,0.05,easy,50,0.1292826551724641,57.99999999999999
3,simple_sort,2,0.05,hard,50,0.19558349999988422,4.0
3,simple_sort,2,0.1,easy,50,0.10453049999994489,28.000000000000004
3,simple_sort,2,0.1,hard,50,0.1142677499999536,8.0
3,simple_sort,2,0.2,easy,50,0.28165052631579546,38.0
3,simple_sort,2,0.2,hard,50,0.30483712499989224,16.0
3,simple_sort,2,0.3,easy,50,0.021244687500058035,96.0
3,simple_sort,2,0.3,hard,50,0.039069199999903506,10.0
3,simple_sort,2,0.4,easy,50,0.14445214285720534,70.0
3,simple_sort,2,0.4,hard,50,0.08758129999996526,20.0
3,simple_sort,2,0.5,easy,50,0.12541786363633697,88.0
3,simple_sort,2,0.5,hard,50,0.05641389999991588,20.0
3,simple_sort,2,0.6,easy,50,0.3265232999999171,60.0
3,simple_sort,2,0.6,hard,50,0.053826857142796926,14.000000000000002
3,simple_sort,2,0.7,easy,50,0.2272374062500262,64.0
3,simple_sort,2,0.7,hard,50,0.16560487499987175,16.0
3,simple_sort,2,0.8,easy,50,0.7104855151515452,66.0
3,simple_sort,2,0.8,hard,50,0.03126024999968043,24.0
4,fitness_proportionate_selection,1,0.01,easy,50,0.26649165384613016,52.0
4,fitness_proportionate_selection,1,0.01,hard,50,0.46587970000000495,20.0
4,fitness_proportionate_selection,1,0.05,easy,50,0.2373537692307694,78.0
4,fitness_proportionate_selection,1,0.05,hard,50,0.48943416666674644,36.0
4,fitness_proportionate_selection,1,0.1,easy,50,0.19245919512188886,82.0
4,fitness_proportionate_selection,1,0.1,hard,50,0.41043195652175357,46.0
4,fitness_proportionate_selection,1,0.2,easy,50,0.15090369767446202,86.0
4,fitness_proportionate_selection,1,0.2,hard,50,0.5584177037037955,54.0
4,fitness_proportionate_selection,1,0.3,easy,50,0.166090260869564,92.0
4,fitness_proportionate_selection,1,0.3,hard,50,0.8282441304347389,46.0
4,fitness_proportionate_selection,1,0.4,easy,50,0.19877997826081453,92.0
4,fitness_proportionate_selection,1,0.4,hard,50,0.8024834615385561,52.0
4,fitness_proportionate_selection,1,0.5,easy,50,0.19829576086959091,92.0
4,fitness_proportionate_selection,1,0.5,hard,50,0.8418714347825818,46.0
4,fitness_proportionate_selection,1,0.6,easy,50,0.18426308000012795,100.0
4,fitness_proportionate_selection,1,0.6,hard,50,1.3636735882353284,34.0
4,fitness_proportionate_selection,1,0.7,easy,50,0.3534948444444833,90.0
4,fitness_proportionate_selection,1,0.7,hard,50,1.7788507333333958,30.0
4,fitness_proportionate_selection,1,0.8,easy,50,0.40114791304348846,92.0
4,fitness_proportionate_selection,1,0.8,hard,50,1.0996018000000731,20.0
4,fitness_proportionate_selection,2,0.01,easy,50,0.496008066666703,30.0
4,fitness_proportionate_selection,2,0.01,hard,50,0.5750682499999584,24.0
